"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","RSSD","CU_TYPE","CU_NAME","CITY","STATE","CharterState","STATE_CODE","ZIP_CODE","COUNTY_CODE","CONG_DIST","SMSA","ATTENTION_OF","STREET","REGION","SE","DISTRICT","YEAR_OPENED","TOM_CODE","LIMITED_INC","ISSUE_DATE","Peer_Group","Quarter_Flag","IsMDI","INSURED_DATE"
1,3/31/2023 0:00:00,2,"50377","1","MORRIS SHEPPARD TEXARKANA","TEXARKANA","TX","TX",48,"75501",37,4,8360,"","419 W 4TH ST","2 ","J",8,1934,"36  ",1,1/1/1934 0:00:00,3,0,0,1/4/1971 0:00:00
6,3/31/2023 0:00:00,7,"54571","1","THE NEW ORLEANS FIREMEN'S","Metairie","LA","LA",22,"70004",51,1,9998,"","P O Box 689","2 ","I",5,1934,"36  ",1,1/1/1934 0:00:00,5,0,0,1/4/1971 0:00:00
12,3/31/2023 0:00:00,11,"56678","1","FRANKLIN TRUST","Hartford","CT","CT",9,"06114",3,1,3280,"","624 Franklin Ave","1 ","A",7,1934,"00  ",1,1/1/1934 0:00:00,4,0,0,10/29/1971 0:00:00
13,3/31/2023 0:00:00,12,"861676","1","EFCU FINANCIAL","BATON ROUGE","LA","LA",22,"70816-4213",33,6,760,"","10719 AIRLINE HWY","2 ","I",6,1934,"00  ",1,1/1/1934 0:00:00,6,0,0,1/4/1971 0:00:00
16,3/31/2023 0:00:00,14,"59277","1","WOODMEN","OMAHA","NE","NE",31,"68102",55,2,5920,"","1700 FARNAM ST STE 1000","3 ","D",6,1934,"50  ",0,1/1/1934 0:00:00,3,0,0,4/26/1971 0:00:00
19,3/31/2023 0:00:00,16,"863773","1","NEW HAVEN TEACHERS","New Haven","CT","CT",9,"06511",9,3,5480,"","90 Hamilton St","1 ","K",7,1934,"04  ",0,1/1/1934 0:00:00,3,0,1,6/8/1971 0:00:00
22,3/31/2023 0:00:00,17,"61074","1","WATERBURY CONNECTICUT TEACHERS","WATERBURY","CT","CT",9,"06722",9,5,8880,"","P.O. BOX 2121","1 ","A",4,1934,"34  ",0,1/1/1934 0:00:00,5,0,0,1/4/1971 0:00:00
26,3/31/2023 0:00:00,19,"866372","1","FARMERS","JACKSONVILLE","FL","FL",12,"32218",31,5,9998,"","6611 DUNN AVE","2 ","A",5,1934,"98  ",1,1/1/1934 0:00:00,3,0,0,1/4/1971 0:00:00
28,3/31/2023 0:00:00,21,"953375","1","CENTRIS","Omaha","NE","NE",31,"68144",55,2,5920,"","13120 Pierce St","3 ","D",9,1934,"00  ",0,1/1/1934 0:00:00,6,0,0,1/22/1971 0:00:00
42,3/31/2023 0:00:00,29,"870276","1","FD COMMUNITY","Waterbury","CT","CT",9,"06708",140,5,9998,"","601 Watertown Ave","1 ","A",4,1934,"00  ",1,1/1/1934 0:00:00,5,0,0,1/19/1971 0:00:00
47,3/31/2023 0:00:00,30,"957579","1","FARGO PUBLIC SCHOOLS","Fargo","ND","ND",38,"58103",17,1,2520,"","1609 32nd Ave S","3 ","C",8,1934,"04  ",1,1/1/1934 0:00:00,4,0,0,1/4/1971 0:00:00
48,3/31/2023 0:00:00,31,"955472","1","EAGLE EXPRESS","JACKSON","MS","MS",28,"39205",49,3,3560,"","P O BOX 567","2 ","M",9,1935,"06  ",1,1/1/1935 0:00:00,4,0,0,1/4/1971 0:00:00
