"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,3/31/2023 0:00:00,2,4/29/2023 12:29:44 AM,44118,12582,0,12054517,0,10840893,10840893,0,7336,3325,0,858,9196487,117,1390338,66099,0,0,0,0,0,0,0,1283,2000,0,0,0,20435,0,0,0,0,0,0,0,825,599,599,17799,4073,0,0,0,-121,161591,0,0,0,0,0,0,0,7751496,203071,0,0,96472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95805,0,0,0,0,9344,0,0,555558,0,344567,2372248,0,0,1001330,0,0,239,0,0,0,0,0,0,0,0,0,59659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2023 0:00:00,7,5/1/2023 12:04:10 AM,3011218,697398,0,246363604,0,212510673,216235673,0,305728,286315,41370,19710,180896620,1525,19406324,934970,0,0,0,0,0,0,0,28828,59500,0,0,14093,100232,0,0,0,0,0,3725,1098,1126,419,606,465364,135430,0,0,0,0,235440,0,0,0,0,0,0,0,138528557,0,0,0,3456313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252351,0,0,0,0,5056272,7000000,3725000,45372606,5115917,4718151,17058870,4517090,0,21288734,0,0,3249,0,0,0,0,0,0,0,0,0,2188184,0,321008,0,0,0,0,0,0,0,0,0,0,949926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584995,66822,7900966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2023 0:00:00,11,4/18/2023 12:03:28 AM,5165313,532888,0,62324176,0,58144271,58144271,0,79165,65245,0,8152,26406106,597,2637018,174874,0,0,0,0,0,0,0,9174,19174,0,12952,0,27065,0,0,0,0,0,0,1799,1425,485,710,93840,43504,0,0,0,81807,346932,0,0,0,0,0,0,0,27661236,0,0,0,1114744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589790,0,0,0,0,260341,0,0,16464774,784700,1585116,2871098,9625878,0,5693962,0,0,388,0,0,0,0,0,0,0,0,0,126352,0,15931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65139,49251,3072951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2023 0:00:00,12,4/20/2023 12:02:41 AM,11970994,697902,0,939319681,0,756080453,824618453,0,617554,149502,0,33966,818115651,7338,95464511,1592371,0,0,0,0,0,0,0,61869,849530,0,0,265975,3688447,0,0,0,0,0,17,950,800,364,364,360298,88530,0,0,0,0,218063,0,0,0,0,0,0,0,201808098,0,0,0,5309189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6333376,0,0,0,0,4702629,35000000,68538000,127246144,24012038,129847876,332157501,24184131,0,76245214,0,0,11551,0,0,0,0,0,0,0,0,0,7580857,0,46209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401739,1485,5250807,0,0,0,0,0,20296632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2023 0:00:00,14,4/22/2023 12:06:19 AM,0,2609,0,10205662,0,8941200,8941200,0,18288,0,0,258,3146646,258,3146646,18288,0,0,0,0,0,0,0,929,1320,0,0,0,2526,0,0,0,0,0,0,1490,850,399,449,0,106,0,0,0,0,0,0,0,0,0,0,0,0,5819182,479074,0,0,86517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94076,0,0,0,0,15375,0,0,2257193,220725,644100,644100,0,0,767859,0,0,64,0,0,0,0,0,0,0,0,0,3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462,16575,32497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2023 0:00:00,16,4/21/2023 12:04:20 AM,0,0,0,10466709,0,7634374,7634374,0,0,0,0,264,1552775,39,406792,0,0,0,0,0,0,0,0,1151,2500,0,0,0,4759,0,0,0,0,0,0,0,1001,484,507,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,7634374,91769,0,0,34612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72426,0,0,0,0,3019,0,0,0,0,0,0,0,0,2737547,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,4484,16708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2023 0:00:00,17,4/29/2023 12:36:29 AM,3428477,164141,0,311747006,0,266008667,266008667,0,0,15741,3403,16877,244410361,723,22025379,24262,0,0,0,0,0,0,0,20786,25000,0,0,0,359078,0,0,0,0,0,0,850,799,489,489,6286,10190,0,0,0,0,0,0,0,0,0,0,0,0,95925776,0,0,0,1988037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601274,0,0,0,0,2498552,0,0,34838161,9988799,30327466,52412867,67744383,0,44908599,0,0,3664,0,0,0,0,0,0,0,0,0,103171,0,35366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662203,68720,1081890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2023 0:00:00,19,4/26/2023 12:10:26 AM,129682,2330,0,21316940,0,19257101,19257101,0,47988,0,0,380,5773458,16,437754,53907,0,0,0,0,0,0,0,1245,14437,0,0,0,2873,0,0,0,0,0,0,1000,829,419,449,0,240,0,0,0,0,6225,0,0,0,0,0,0,0,13157679,603146,0,0,132638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165749,0,0,0,0,66198,0,0,4296427,0,135671,1796770,0,0,1390495,0,0,72,0,0,0,0,0,0,0,0,0,48891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11788,0,44829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2023 0:00:00,21,4/28/2023 12:06:44 AM,52901931,7064269,0,1201921424,0,959061240,959061240,0,2895803,1468931,610287,49428,999022717,2691,75736435,7086356,0,0,0,0,0,0,0,124837,910758,0,1379439,3275749,2234403,0,0,0,0,0,0,990,1074,874,924,1694394,654085,0,0,0,0,0,0,0,0,0,0,0,0,233295166,0,0,0,11847207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5390549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8834984,0,0,0,0,22675339,125485893,0,249102819,18961627,103959108,200269115,234035350,0,110108025,0,0,19782,0,0,0,0,0,0,0,0,0,12137796,0,0,0,0,0,0,0,0,0,0,0,0,57672265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388033,375393,31604626,0,0,0,0,0,4568593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2023 0:00:00,29,4/29/2023 12:06:23 AM,1953260,301556,0,147446512,0,133087989,133087989,0,67249,96007,198258,6620,78149317,241,6428865,427616,0,0,0,0,0,0,0,14951,244000,0,24710,0,85834,0,0,0,0,0,0,895,1083,354,519,33986,26527,0,0,0,0,162421,0,0,0,0,0,0,0,80779995,782449,0,0,992381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309140,0,0,0,0,707479,0,0,26028155,3765620,4323810,8006356,12310059,0,11594986,0,0,635,0,0,0,0,0,0,0,0,0,1047329,0,134110,0,0,0,0,0,0,0,0,0,0,226778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199582,170378,750019,0,0,0,0,0,10587926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
