"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,3/31/2023 0:00:00,2,0,0,0,0,8813212,2027681,0,12054517,0,8813212,2027681,0,0,0,0,12,0,0,0,0,62021,2,0,0,0,0,0,0,0,105870,0,18754,0,0,0,0,0,0,0,0,0,0,0,7897,0,0,0,0,0,0,0,0,43329,400,3325,42381,298,2183,2430,0,0,0,0,0,2126,3468940,0,0,2598404,0,0,0,0,0,808015,0,0,0,0,98,372,0,1283,66,0,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,124624,0,21085,20435,0,-121,0,2698,0,0,0,0,0,0,0,0,84995,1395412,0,0,0,0,0,0,0,0,0,0,1204280,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,8188,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2023 0:00:00,7,0,0,0,0,198487761,13121510,901402,246363604,0,200229761,15104510,901402,0,0,0,146,0,0,0,0,122022,2,0,0,0,0,0,0,0,2856035,0,194770,0,0,0,0,0,0,0,0,0,0,0,436289,0,0,0,0,0,0,0,0,1792032,93462,132128,1068010,91994,172510,76162,0,0,0,0,10500,19515,60826043,0,0,33638992,0,0,0,0,16863713,24205640,0,0,1838,0,603,14227,428,35336,210,125,54654,0,0,0,0,0,0,0,0,0,0,0,0,0,92,5,0,0,0,0,0,0,3050805,0,947843,114325,0,114136,0,394546,47176,0,7000000,0,0,0,0,0,4853929,9522814,0,0,0,0,0,0,0,0,0,0,28579150,1160,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,2399920,0,0,0,0,0,0,0,7000000,7000000,16560000,0,0,11850475,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2023 0:00:00,11,0,0,0,0,56468636,1367055,308580,62324176,0,56468636,1367055,308580,0,0,0,108,0,0,0,0,32022,2,0,0,0,0,0,0,0,600713,0,145731,0,0,0,0,0,0,0,0,0,0,0,315701,0,0,0,0,0,0,0,0,484954,19663,128469,180137,7740,143915,145953,0,0,0,0,2668,1245,4660195,0,0,4437684,0,0,0,0,3729769,7190625,0,0,0,18388,168,6395,181,15309,600,372,23025,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,746444,0,609954,27065,0,201637,0,100000,1319,0,0,0,0,0,0,0,645470,676105,0,0,0,0,0,0,0,0,-1857524,0,5775769,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,5270290,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2023 0:00:00,12,0,0,0,0,507316350,102431029,146333074,939319681,0,523357350,108605029,192656074,0,0,0,86,0,0,0,0,122022,2,0,0,0,0,0,0,0,8744103,0,661315,0,0,0,0,0,0,0,0,0,0,0,1094515,0,0,0,0,0,0,0,0,2672249,40315,225558,1646609,92964,433666,152752,0,0,0,0,27881,17195,277483434,0,0,284387361,0,0,0,0,9176122,18073954,0,0,0,0,5659,30573,2006,67758,72,509,106594,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,9405418,0,2686051,3954422,0,2581292,0,0,0,0,15000000,0,0,0,0,0,6735991,86055927,0,0,0,0,0,0,0,0,-1220462,0,93523450,993,0,51891077,0,280848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18334,516049443,0,0,0,0,0,0,6000000,14000000,20000000,181921854,0,0,245427,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2023 0:00:00,14,0,0,0,0,8941200,0,0,10205662,0,8941200,0,0,0,0,0,0,0,0,0,0,22023,2,0,0,0,0,0,0,0,38279,0,43694,0,0,0,0,0,0,0,0,0,0,0,7651,0,0,0,0,0,0,0,0,51080,0,900,12284,10,17443,4650,0,0,0,0,0,150,1084372,0,0,588987,0,0,0,0,142451,148205,0,0,0,0,43,331,12,918,0,0,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,81973,0,15221,2526,0,8151,0,40342,2154,0,0,0,0,0,0,0,96062,931813,0,0,0,0,0,0,0,0,0,0,1246933,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2023 0:00:00,16,0,0,0,0,7634374,0,0,10466709,0,7634374,0,0,0,0,0,0,0,0,0,0,62022,3,0,0,0,0,0,0,0,24467,0,32189,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0,0,20311,0,3517,1557,0,1787,6816,0,0,0,0,0,624,872674,0,0,265449,0,0,0,0,0,387905,0,0,0,0,0,0,0,1860,0,0,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56656,0,909,4759,0,18194,2857,0,0,0,0,0,0,0,0,0,30,757915,0,0,0,0,0,0,0,0,0,0,2829316,2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2023 0:00:00,17,0,0,0,0,238824585,24879350,2304732,311747006,0,238824585,24879350,2304732,0,0,0,6,0,0,0,0,92022,2,0,0,0,0,0,0,0,2746551,0,382406,0,0,0,0,0,0,0,0,0,0,0,62143,0,0,0,0,0,0,0,0,792559,21371,101040,403519,66337,300195,140752,0,105658,0,0,12000,44606,50619604,0,0,21393153,0,0,0,0,13221946,13713816,0,0,0,0,2238,10347,1382,22416,0,1644,38027,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,3128957,0,780945,359078,0,1562787,0,0,188474,0,0,0,0,0,0,0,1202432,10658162,0,0,0,0,0,0,0,0,-108450,0,44908599,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19768461,0,0,126012,1651.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2023 0:00:00,19,0,0,0,0,17596002,1661099,0,21316940,0,17596002,1661099,0,0,0,0,0,0,0,0,0,122022,3,0,0,0,0,0,0,0,72436,0,64064,0,0,0,0,0,0,0,0,0,0,0,30894,0,0,0,0,0,0,0,0,56910,117,7518,18738,2097,1247,39858,0,0,0,0,829,5324,1270554,0,0,2063136,0,0,0,0,254033,123161,0,0,0,0,114,633,0,1245,29,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,136500,0,30894,2873,0,31883,0,111464,0,0,0,0,0,0,0,0,322916,1379009,0,0,0,0,0,0,0,0,0,0,2046813,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,43987,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2023 0:00:00,21,0,0,0,0,839354070,110916667,8790503,1201921424,0,839354070,110916667,8790503,0,0,0,468,0,0,0,0,62022,2,0,0,0,0,0,0,0,14125945,0,2465300,0,0,0,0,0,0,0,0,0,0,0,2983815,0,0,0,0,0,0,0,0,7125198,157417,773433,1334246,285784,489918,1383480,0,0,0,0,44941,252790,324077924,0,0,36272588,0,0,0,0,14643,58192433,0,0,1061,47521,7643,55116,2864,114340,0,8995,188958,0,0,0,0,0,0,0,0,0,0,0,0,0,288,25,0,0,0,0,0,0,16591245,0,4837288,5510152,0,2691735,0,5359,123,0,0,0,0,0,0,1178788406,7163423,7056274,0,0,0,0,0,0,0,0,-2849932,0,110108025,934,0,378557054,0,491558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13963,261655421,0,0,0,0,0,80400000,0,45085893,125485893,609888283,0,0,20606630,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2023 0:00:00,29,0,0,0,0,127370060,4875318,842611,147446512,0,127370060,4875318,842611,0,0,0,50,0,0,0,0,92022,2,0,0,0,0,0,0,0,883924,0,363865,0,0,0,0,0,0,0,0,0,0,0,309689,0,0,0,0,0,0,0,0,438943,1629,51365,147358,19257,75056,225973,0,16273,0,0,5692,10835,7675173,0,0,15689865,0,0,0,0,2986957,4189523,0,0,0,-21347,472,8028,398,15382,48,253,24581,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,1247789,0,411434,85834,0,556298,0,66000,0,0,0,0,0,0,0,0,1236356,13355982,0,0,0,0,0,0,0,0,0,0,13651044,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39582,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
