"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
1,3/31/2023 0:00:00,2,0,0,84995,0,1,0,29816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28923,0,0,0,28923,0,0,0,0,0,10850237,0,0,0,0,0,0,0,0,03/01/2023,0,12054517,0,0,0,0,0,0,0,0,0,0,0,13188,0,0,0,0,0,0,0,0,0
6,3/31/2023 0:00:00,7,0,0,4853929,0,1,0,2222018,0,0,0,0,0,0,0,0,0,0,0,0,5133655,15444092,12773697,4213742,0,37565186,0,0,0,0,0,0,0,-3620027,0,248514,0,0,65360,313874,0,0,0,0,65360,228404481,0,0,0,0,0,0,0,0,01/01/2023,0,246363604,0,0,0,0,0,0,0,0,0,0,0,509716,0,0,0,0,0,95,2484496,0,0
12,3/31/2023 0:00:00,11,0,262555,572381,73089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504758,3664844,1949525,0,0,6119127,0,0,0,0,0,0,0,0,0,0,0,0,0,58405931,0,0,0,0,0,0,0,0,,0,62324176,0,0,0,0,0,0,0,0,0,0,0,275865,0,0,0,0,0,0,0,0,0
13,3/31/2023 0:00:00,12,0,85778092,3152258,3583733,1,0,3215687,0,0,0,0,0,0,0,0,0,0,0,0,4140,408917,65046,0,0,478103,0,0,0,0,0,0,0,-26153,0,246566,0,0,0,246566,0,0,0,0,0,864321082,0,0,0,0,0,0,0,0,01/01/2023,2278236,941597917,0,0,0,0,0,0,0,0,0,0,0,1589726,0,0,0,0,0,0,0,0,0
16,3/31/2023 0:00:00,14,0,0,96062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8958729,0,0,0,0,0,0,0,0,,0,10205662,0,0,0,0,0,0,0,0,0,0,0,7570,0,0,0,0,0,0,0,0,0
19,3/31/2023 0:00:00,16,0,0,30,0,1,0,34287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5180000,2406000,485000,0,0,8071000,0,0,0,0,0,0,0,0,0,0,0,0,0,7637393,0,0,0,0,0,0,0,0,Fiscal Year 2022,34287,10466709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2023 0:00:00,17,0,9470598,939717,262715,0,0,0,2115402,0,0,0,0,2115402,0,0,0,0,0,0,2351084,1814239,4233160,6353197,0,14751680,0,0,0,0,0,0,0,-1748836,0,0,0,0,0,0,0,0,0,0,0,268695693,0,0,0,0,0,0,0,0,,0,311747006,0,0,0,0,0,0,0,0,0,0,0,595378,0,123424,0,0,0,0,0,0,0
26,3/31/2023 0:00:00,19,0,0,322916,0,1,0,68285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19323299,0,0,0,0,0,0,0,0,01/01/2023,53172,21370112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2023 0:00:00,21,0,6366114,7163423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16632198,44384909,6438756,67455863,0,0,0,0,0,0,0,-12559264,0,0,0,0,0,0,0,0,0,0,0,1107222595,2,205054,47516,0,0,0,6,98879,,0,1201921424,0,0,0,0,0,0,0,0,0,0,0,1906053,0,0,0,0,0,1,1158418,0,0
42,3/31/2023 0:00:00,29,0,0,1236356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,5100000,3600000,0,0,10200000,0,0,0,0,0,0,0,0,0,0,0,0,0,133795468,0,0,0,0,0,0,0,0,,0,147446512,0,0,0,0,0,0,0,0,0,0,0,123092,0,0,0,0,0,0,0,0,0
