"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,3/31/2023 0:00:00,2,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9196487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29816,29816,9166671,0,-29816,-29816,0,0,0,0,0,154741,0,95805,95805,0,0,0,0,0,0,0,12054517,65989,65989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12054517,0,0,29816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10840893,10840893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2023 0:00:00,7,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,37959732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150329277,0,0,0,0,0,0,0,1760983,0,0,0,0,0,0,0,0,2222018,2222018,178674602,0,-2222018,-2222018,0,0,0,0,0,14538404,0,2257505,2257505,0,0,0,0,0,0,0,246363604,35487,35487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246363604,0,0,2222018,88,13796947,0,98,6329755,248750,6,633992,0,14,793612,235255,0,0,0,21554306,484005,80,3474745,110000,0,0,0,0,0,0,78,3777309,40000,7252054,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,28806360,634005,5595344,212510673,216235673,3725000,95,2399920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2023 0:00:00,11,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,6249327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20146767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650783,650783,25755323,0,-650783,-650783,0,0,0,0,0,9475332,0,589790,589790,0,0,0,0,0,0,0,62324176,-60993,-60993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62324176,0,0,650783,8,790794,0,74,3578130,194000,0,0,0,0,0,0,0,0,0,4368924,194000,0,0,0,49,1705482,189500,0,0,0,9,184936,0,1890418,189500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,6259342,383500,0,58144271,58144271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2023 0:00:00,12,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,4590648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601094522,0,0,0,0,0,0,0,1116070,0,0,0,0,0,0,0,0,3215687,3215687,814899964,0,-3215687,-3215687,0,0,0,0,0,26937151,0,6333376,6333376,0,0,0,0,0,0,0,939319681,3117689,3117689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939319681,0,0,3215687,211,41731490,114000,682,69678787,6934014,0,0,0,135,37099983,10017910,372,19229119,1783607,167739379,18849531,0,0,0,0,0,0,0,0,0,1116,48165680,7313360,48165680,7313360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516,215905059,26162891,110991236,756080453,824618453,68538000,3,1116070,0,0,2,429754,2,0,2,429754,248,0,0,0,0,1,103006786,1096,0,0,0,0,0,0,0,0,2278236
16,3/31/2023 0:00:00,14,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,40342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49560,49560,3097086,0,-49560,-49560,0,0,0,0,0,149219,0,94076,94076,0,0,0,0,0,0,0,10205662,44516,44516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10205662,0,0,49560,0,0,0,1,75712,0,0,0,0,10,733642,0,0,0,0,809354,0,7,219103,0,7,154172,0,0,0,0,0,0,0,373275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1182629,0,0,8941200,8941200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2023 0:00:00,16,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,8073857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34287,34287,1518488,0,-34287,-34287,0,0,0,0,0,93855,0,72426,72426,0,0,0,0,0,0,0,10466709,38139,38139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10466709,0,0,34287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7634374,7634374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2023 0:00:00,17,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,26021682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112430633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162536,1162536,243247825,0,-1162536,-1162536,0,0,0,0,0,8006705,0,2601274,2601274,0,0,0,0,0,0,0,311747006,1438738,1438738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311747006,0,0,1162536,23,5590622,246415,40,5966162,0,0,0,0,0,0,0,5,756279,0,12313063,246415,989,77605142,5154670,0,0,0,0,0,0,1333,42061523,4400900,119666665,9555570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,131979728,9801985,59488082,266008667,266008667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4768461,0,0
26,3/31/2023 0:00:00,19,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4521180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68285,68285,5705173,0,-68285,-68285,0,0,0,0,0,354378,0,165749,165749,0,0,0,0,0,0,0,21316940,97464,97464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21316940,0,0,68285,0,0,0,24,1252278,80000,0,0,0,0,0,0,0,0,0,1252278,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1252278,80000,223994,19257101,19257101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53172
28,3/31/2023 0:00:00,21,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,83108022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467382211,0,0,0,0,0,0,0,73482989,0,0,0,0,0,0,-974150,0,5390549,5390549,994606318,-974150,-5390549,-5390549,0,0,0,0,0,109987387,0,8834984,8834984,0,0,0,0,0,0,0,1201921424,3444435,3444435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201921424,0,0,5390549,1002,178062375,7339220,945,80739248,1141622,11,1059317,0,0,0,0,338,91169880,132000,351030820,8612842,1117,44126211,2153125,0,0,0,0,0,0,1785,63000486,11551321,107126697,13704446,4,108766,0,9,166893,0,0,0,0,0,0,0,275659,0,5211,458433176,22317288,110610353,959061240,959061240,0,7,9636124,0,0,29,5651784,29,0,29,5651784,2969,0,0,1227,13134816,1,73081182,608,0,0,0,0,0,0,80000000,0,0
42,3/31/2023 0:00:00,29,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,10266000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31340967,0,0,0,0,0,0,0,189375,0,0,0,0,0,0,0,0,523078,523078,77626239,0,-523078,-523078,0,0,0,0,0,4683935,0,1309140,1309140,0,0,0,0,0,0,0,147446512,786062,786062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147446512,0,0,523078,67,11449709,527813,126,12374691,0,0,0,0,0,0,0,1,117776,0,23942176,527813,164,9975196,755550,61,2113677,0,0,0,0,365,10587926,1133000,22676799,1888550,9,395100,0,0,0,0,0,0,0,0,0,0,395100,0,793,47014075,2416363,0,133087989,133087989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3/31/2023 0:00:00,30,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11949758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103247,103247,22557229,0,-103247,-103247,0,0,0,0,0,2145076,0,489650,489650,0,0,0,0,0,0,0,54604086,386403,386403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54604086,0,0,103247,0,0,0,0,0,0,0,0,0,67,6954418,29650,0,0,0,6954418,29650,3,97551,45000,0,0,0,0,0,0,87,3658749,162360,3756300,207360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,10710718,237010,0,47929240,47929240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3/31/2023 0:00:00,31,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,15646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20216385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248060,248060,21685190,0,-248060,-248060,0,0,0,0,0,8617243,0,510966,510966,0,0,0,0,0,0,0,65510447,262906,262906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65510447,0,0,248060,0,0,0,46,991019,0,0,0,0,0,0,0,0,0,0,991019,0,0,0,0,0,0,0,20,725846,4335,0,0,0,725846,4335,7,175647,0,0,0,0,0,0,0,0,0,0,175647,0,73,1892512,4335,344532,53023569,53023569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3/31/2023 0:00:00,32,WISe,0,0,0,7423164,0,7027000,0,396162,2,0,0,0,0,1589417745,0,1589417745,692168008,882291467,0,10031157,396162,4530951,0,0,0,91485066,2852226052,2845191308,0,7034744,-50723441,410411107,408774552,1636555,2019881009,-282627,2019598382,5852527,0,1558272220,449386213,6087422,685422546,282627,685705173,282627,0,679237281,6185265,-40761625,0,65847938,65847938,5902092776,0,5902092776,-59712784,0,2845191308,1558272220,1544432790,13909242,458305267,0,458305267,230599835,201395067,0,26310365,0,0,0,0,8283514008,8283514008,1152563228,885914665,2845191308,1558272220,1796425867,14305404,26310365,4530951,0,0,0,4665735490.5,177182933,1422595654,1168704165,1796425867,21458106,65775912.5,13592853,0,0,0,34795455.5,34795455.5,73490494.29,45844026.45,482867.99,27163599.85,30224747.6,30224747.6,4083591.2,4083591.2,0,0,0,0,0,0,0,36548324,36548324,0,0,0,0,0,0,0,0,0,0,0,179142612.59,36548324,0,0,0,49927617.65,482867.99,92183802.95,0,117509762.76,0,0,0,24963808.82,362150.99,92183802.95,0,8462656620.59,4783245253.26,1260,65847938,3056,621499863,41655780,9274,671709012,6587447,2446,637833212,89241036,69,16649303,177497,5528,813049597,52754320,2760740987,190416080,2344,68130114,0,0,0,0,4405,168518327,5732951,7067,224486108,27888867,461134549,33621818,2,32101,0,0,0,0,0,0,0,0,0,0,32101,0,34191,3221907637,224037898,1084251324,7362324128,7362672169,348041,0,0,0,0,0,0,163,0,305,68890784,25202,0,0,0,0,0,1127161286,1360,0,0,0,0,0,0,278840305,0,23240646
53,3/31/2023 0:00:00,33,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,6330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10553395,0,0,0,0,0,0,0,8969851,0,0,0,0,0,0,0,0,229830,229830,38381862,0,-229830,-229830,0,0,0,0,0,7945319,0,632019,632019,0,0,0,0,0,0,0,71497750,402189,402189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71497750,0,0,229830,25,4781668,319200,44,5818606,0,0,0,0,0,0,0,9,3063934,0,13664208,319200,21,1054630,50000,0,0,0,0,0,0,77,4369608,580000,5424238,630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,19088446,949200,17299953,66036206,66036206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3/31/2023 0:00:00,35,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,110518390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147408544,0,0,0,0,0,0,0,21490799,0,0,0,0,0,0,-600084,0,1702961,1702961,254072439,-600084,-1702961,-1702961,0,0,0,0,0,32065631,0,3791865,3791865,0,0,0,0,0,0,0,442920758,2088904,2088904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442920758,0,0,1702961,86,19748756,3674740,265,29645096,195000,5,754016,0,26,3341315,0,38,1309812,0,54798995,3869740,257,8128713,122213,0,0,0,0,0,0,598,23348265,1627500,31476978,1749713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,86275973,5619453,29007123,402615542,402615542,0,2106,15872037,0,0,19,124714,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3/31/2023 0:00:00,40,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,1082623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,46800,0,-1000,-1000,0,0,0,0,0,26089,0,16971,16971,0,0,0,0,0,0,0,2112418,15971,15971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112418,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554847,1554847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3/31/2023 0:00:00,41,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,41849204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117831486,0,0,0,0,0,0,0,9737618,0,0,0,0,0,0,-1060417,0,1092399,1092399,149169263,-1060417,-1092399,-1092399,0,0,0,0,0,6776574,0,1988591,1988591,0,0,0,0,0,0,0,212843104,896192,896192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212843104,0,0,1092399,16,4084503,0,43,5327691,238064,12,5237580,107580,15,3173772,1723628,5,196637,0,18020183,2069272,40,1571643,199341,0,0,0,0,0,0,81,2040314,936900,3611957,1136241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,21632140,3205513,0,200241984,200241984,0,183,5356480,4,1128670,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3/31/2023 0:00:00,43,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,158492987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291612988,0,0,0,0,0,0,0,59301718,0,0,0,0,0,0,0,0,2698025,2698025,585451650,0,-2698025,-2698025,0,0,0,0,0,60565421,0,7076116,7076116,0,0,0,0,0,0,0,849678263,4378091,4378091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849678263,0,0,2698025,354,77122139,484371,543,69750283,581212,204,42250341,401796,23,7462368,911300,0,0,0,196585131,2378679,273,13422731,978550,0,0,0,0,0,0,672,27227107,1115000,40649838,2093550,3,85197,0,0,0,0,1,19727,0,0,0,0,104924,0,2073,237339893,4472229,74052831,782202779,782304484,101705,0,0,461,6693552,16,5091170,16,0,0,0,0,0,0,0,0,1,35284622,415,0,0,0,0,0,0,12808194,0,1317646
82,3/31/2023 0:00:00,46,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,18016492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125483563,0,0,0,0,0,0,0,14544463,0,0,0,0,0,0,0,0,1376719,1376719,229155012,0,-1376719,-1376719,0,0,0,0,0,24314754,0,2520144,2520144,0,0,0,0,0,0,0,297468085,1143425,1143425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297468085,0,0,1376719,155,30822784,531750,214,17641030,970000,6,2860709,0,9,3450520,0,275,10881328,188411,65656371,1690161,176,8532223,592000,38,1186961,0,0,0,0,462,15128150,668070,24847334,1260070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,90503705,2950231,34849207,261642229,261642229,0,4,2671800,0,0,0,0,0,0,0,0,199,0,0,812,7292763,0,0,0,0,0,0,0,0,0,0,0,122000
